Subject,Date_Sleep_telegram,Sleep_telegram,Date_Wake_telegram,Wake_telegram
S001,4/9/21,0:02,4/9/21,7:38
S001,5/9/21,0:01,5/9/21,7:25
S001,6/9/21,0:10,6/9/21,7:38
S001,7/9/21,0:15,7/9/21,7:50
S001,8/9/21,1:45,8/9/21,8:25
S001,9/9/21,0:23,9/9/21,7:49
S001,10/9/21,0:06,10/9/21,7:25
S001,11/9/21,1:31,11/9/21,8:36
S001,11/9/21,23:30,12/9/21,7:34
S001,13/9/21,2:07,13/9/21,7:35
S001,13/9/21,23:38,14/9/21,7:00
S001,15/9/21,0:57,15/9/21,7:08
S001,16/9/21,0:22,16/9/21,7:29
S002,30/9/21,0:02,30/9/21,8:55
S002,1/10/21,1:40,1/10/21,8:05
S002,2/10/21,1:40,2/10/21,10:35
S002,3/10/21,3:35,3/10/21,11:30
S002,4/10/21,2:00,4/10/21,8:10
S002,5/10/21,1:58,5/10/21,9:23
S002,6/10/21,1:58,6/10/21,8:01
S002,7/10/21,1:28,7/10/21,8:01
S002,8/10/21,2:56,8/10/21,9:36
S002,9/10/21,1:30,9/10/21,7:54
S002,10/10/21,1:30,10/10/21,10:14
S002,11/10/21,1:32,11/10/21,9:27
S002,12/10/21,1:16,12/10/21,9:10
S002,13/10/21,2:01,13/10/21,9:06